skill_id,reference_material
DB-ERM-01,"Using the Peter Chen notation for an entity relationship diagram (ERD): entity types are represented using rectangular shapes, relationship types are shown with a diamond shape, lines connect the relationship type to its related entity types with cardinality symbols such as m and n, and attributes are shown as ovals with a line connecting each one to the pertinent entity type or relationship type."
DB-ERM-01,"An entity relationship (ER) model, expressed as an entity relationship diagram (ERD), gives a good overview of the design of a database system, making it easier to understand at both a technical and a conceptual level; it is created through an iterative process of identifying the relevant entities, their attributes, and the relationships among them."
DB-REL-01,"A relation, also known as a table, is a subset of the Cartesian product of a list of domains, characterized by a name; each row of a relation represents a group of related data values and is called a tuple, or record, while each column is called a field or attribute. A domain is the original set of atomic values used to model data, where each value is indivisible as far as the relational model is concerned."
DB-REL-01,Constraints are rules that force a database management system to check that data satisfies the semantics of the application domain. Domain integrity restricts the values an attribute may take; entity integrity ensures that every table has a primary key whose value is unique and never null; and referential integrity ensures that a foreign key value in one table must either match an existing primary key value in the referenced table or be null.
DB-ALG-01,"The selection operator (sigma) takes in a single relation and filters rows based on a condition, keeping the same output schema; it is equivalent to SQL's WHERE clause, not its SELECT clause. The projection operator (pi) does not filter rows, but instead changes the schema by keeping only the specified columns of the relation. There is only one reasonable way to express a given query in SQL, but relational algebra allows several different, equally correct expressions of the same query, for example applying selection before or after projection."
DB-SQL-01,"The SQL data manipulation language (DML) is used to query and modify database data using four core statements: SELECT queries data in the database, INSERT inserts data into a table, UPDATE updates data in a table, and DELETE removes data from a table. A SELECT statement can join multiple tables together, including an inner join, which returns only rows with matching values in both tables, and outer joins, which also return unmatched rows from one or both tables."
DB-NRM-01,"A functional dependency (FD) is a relationship between two attributes, typically between the primary key and other non-key attributes within a table: for relation R, attribute Y is functionally dependent on attribute X if, for every valid instance of X, that value of X uniquely determines the value of Y. This relationship is written X -> Y, where X is called the determinant and Y is called the dependent."
DB-NRM-01,"Normalization is the process of determining how much redundancy exists in a table and transforming the schema to remove it; normal forms are sequenced from weakest to strongest, so that 2NF is stronger than 1NF, and 3NF is stronger than 2NF. A relation is in third normal form (3NF) when it is already in second normal form and contains no transitive dependency, meaning no non-key attribute depends on another non-key attribute rather than depending directly on the primary key."
DB-TXN-01,"A transaction is a set of database operations, induced by a single user or application, that is treated as one undividable unit of work: it either succeeds or fails in its entirety. RDBMS transactions satisfy the ACID properties: atomicity ensures the transaction's operations execute as a unit; consistency ensures only valid data is written; isolation guarantees that concurrent users are not affected by each other's in-progress transactions; and durability guarantees that once a transaction commits, its effects persist."
DB-TXN-01,"Concurrency control is the coordination of transactions that execute simultaneously on the same data so that they do not cause inconsistencies from mutual interference; a lock manager provides concurrency control to ensure data integrity. The transaction manager can COMMIT a transaction upon successful execution or ROLLBACK a transaction upon unsuccessful execution, using a log file that registers each transaction's current state to support recovery after a failure."
DB-IDX-01,"A B-tree generalizes a binary search tree so that, instead of one value, each node holds a list of up to n values, with n chosen so a node's size corresponds to a storage block; a database index built this way lets a lookup skip most of the table by descending through a shallow, wide tree instead of scanning every row. In a B+ tree, values are stored only in the leaf nodes, while internal nodes hold only keys and pointers to guide the search; most database systems use the B+ tree for indexing because its greater fan out keeps the tree shorter and searches faster."
