skill_id,reference_material
LA-SLE-01,"A matrix is in reduced row-echelon form if the leading entry of each nonzero row is a 1 (a leading 1), each leading 1 is the only nonzero entry in its column, and each leading 1 sits to the right of every leading 1 in the rows above it. The row-reduced form of a system's augmented matrix lets us determine the solution set directly, since each leading-1 column corresponds to a variable whose value is read off immediately from the row, without needing to substitute values back through the other equations."
LA-SLE-01,"A system of linear equations is a collection of equations in the same set of variables, and to solve a system precisely means to find all of the values of the variables that make every equation in the system simultaneously true. We isolate the key information about a system of equations into a matrix, called the augmented matrix, and then use row operations on this matrix to systematically solve the system."
LA-VSP-01,"Given a set of vectors S, their span is the set of all possible linear combinations of the vectors in S. The span provides a compact way to describe an infinite set of vectors: rather than listing every vector in the set, we describe it as everything reachable by scaling and adding together the vectors in S."
LA-VSP-01,"A set of vectors is linearly independent when the only way to write the zero vector as a linear combination of them is the trivial way, using all-zero coefficients. If some other, nontrivial combination of the vectors also produces the zero vector, the set is linearly dependent, and at least one vector in the set is redundant -- it can be written as a linear combination of the others."
LA-VSP-01,"A subset S of a vector space V is a basis of V if it is linearly independent and spans V. The spanning requirement ensures S has enough raw material to build every vector in V, while the linear independence requirement ensures S contains no more raw material than is needed -- a basis is a minimal spanning set."
LA-VSP-01,"A subspace is a vector space that is contained within another, larger vector space, using the same definitions of vector addition and scalar multiplication as the larger space. Rather than checking all of the vector space properties directly, a subset W of a vector space V can be tested as a subspace by checking that it is nonempty and closed under vector addition and scalar multiplication."
LA-LTR-01,"A linear transformation T from vector space U (the domain) to vector space V (the codomain) is a function with two defining properties: T(u1 + u2) = T(u1) + T(u2) for all u1, u2 in U, and T(alpha*u) = alpha*T(u) for all u in U and every scalar alpha. Any capsule summary of linear algebra would have to describe the subject as the interplay of linear transformations and vector spaces."
LA-LTR-01,"Linear transformations whose domain and codomain are vector spaces of column vectors have a close relationship with matrices: for such a transformation T, there is a standard matrix A so that T(x) = Ax for every input x. This matrix is built by applying T to each vector of the standard basis and using the results as the matrix's columns."
LA-DET-01,The determinant of a square matrix is a single scalar computed from its entries. A square matrix is nonsingular -- meaning it is invertible and the associated homogeneous system has only the trivial solution -- exactly when its determinant is nonzero; a zero determinant signals that the matrix has no inverse.
LA-DET-01,"Cramer's Rule solves a system of linear equations by replacing the coefficient matrix's variable column of interest with the constant column and comparing determinants: each variable's value is the ratio of that modified matrix's determinant to the determinant of the original coefficient matrix. Cramer's Rule gives the unique solution to a system when the coefficient matrix's determinant is nonzero; if that determinant is zero, the system has no solution or infinitely many, and Cramer's Rule cannot be used."
LA-EIG-01,"Suppose A is a square matrix, x is a nonzero vector, and lambda is a scalar. Then x is an eigenvector of A with eigenvalue lambda if A*x = lambda*x. The eigenvalues of A are exactly the roots of A's characteristic polynomial, and for each eigenvalue, the set of eigenvectors together with the zero vector forms a subspace called the eigenspace."
LA-EIG-01,"Two square matrices A and B of the same size are similar if there exists a nonsingular matrix S such that A = S*B*S^-1. Similar matrices share many important properties, including their eigenvalues; a matrix that is similar to a diagonal matrix is called diagonalizable, and its diagonal entries are exactly its eigenvalues."
LA-MKV-01,"A square matrix A is stochastic if all of its entries are nonnegative and the entries of each column sum to 1. A difference equation v_(t+1) = A*v_t, where A is a stochastic matrix, is called a Markov chain: it models how a population or probability distribution moves between states from one time step to the next, with each column of A giving the probabilities of moving from that column's state to each other state."
LA-MKV-01,"Google's PageRank algorithm ranks web pages using the Importance Rule: if a page P links to n other pages, each of those pages inherits 1/n of P's importance. The importance matrix built from this rule is a stochastic matrix, and a page's PageRank is its entry in that matrix's steady-state vector -- the eigenvector with eigenvalue 1 that the Markov chain converges to."
