reference_id,skill_id,reference_material,title,source_url,source_domain,content_hash,retrieved_at,reviewer_id,reviewed_at,review_note
LA-SLE-01-0fd0b3832653,LA-SLE-01,"A matrix is in reduced row-echelon form if the leading entry of each nonzero row is a 1 (a leading 1), each leading 1 is the only nonzero entry in its column, and each leading 1 sits to the right of every leading 1 in the rows above it. The row-reduced form of a system's augmented matrix lets us determine the solution set directly, since each leading-1 column corresponds to a variable whose value is read off immediately from the row, without needing to substitute values back through the other equations.",Section RREF: Reduced Row-Echelon Form -- A First Course in Linear Algebra,https://linear.pugetsound.edu/html/section-RREF.html,linear.pugetsound.edu,0fd0b3832653f94c1e9fe14264316fc8a6d17643031da903367fd430f0910f4b,2026-08-16T21:30:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T22:00:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
LA-SLE-01-0c9d1502288d,LA-SLE-01,"A system of linear equations is a collection of equations in the same set of variables, and to solve a system precisely means to find all of the values of the variables that make every equation in the system simultaneously true. We isolate the key information about a system of equations into a matrix, called the augmented matrix, and then use row operations on this matrix to systematically solve the system.",Section SSLE: Solving Systems of Linear Equations -- A First Course in Linear Algebra,https://linear.pugetsound.edu/html/section-SSLE.html,linear.pugetsound.edu,0c9d1502288d694a35f1eebea2325504ca1ef516fc5676f68a7786cf10f8301e,2026-08-16T21:30:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T22:00:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
LA-VSP-01-89976ec53e8a,LA-VSP-01,"Given a set of vectors S, their span is the set of all possible linear combinations of the vectors in S. The span provides a compact way to describe an infinite set of vectors: rather than listing every vector in the set, we describe it as everything reachable by scaling and adding together the vectors in S.",Section SS: Spanning Sets -- A First Course in Linear Algebra,https://linear.pugetsound.edu/html/section-SS.html,linear.pugetsound.edu,89976ec53e8a559a9124a76fbbb7b06b4ba05194dba7bc04a356d5168f1434c6,2026-08-16T21:30:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T22:00:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
LA-VSP-01-259983bf0688,LA-VSP-01,"A set of vectors is linearly independent when the only way to write the zero vector as a linear combination of them is the trivial way, using all-zero coefficients. If some other, nontrivial combination of the vectors also produces the zero vector, the set is linearly dependent, and at least one vector in the set is redundant -- it can be written as a linear combination of the others.",Section LI: Linear Independence -- A First Course in Linear Algebra,https://linear.pugetsound.edu/html/section-LI.html,linear.pugetsound.edu,259983bf0688566603b046172ca66acf214cbfe1ad26ebfb2a9af84bd6621430,2026-08-16T21:30:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T22:00:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
LA-VSP-01-09d6b543906e,LA-VSP-01,"A subset S of a vector space V is a basis of V if it is linearly independent and spans V. The spanning requirement ensures S has enough raw material to build every vector in V, while the linear independence requirement ensures S contains no more raw material than is needed -- a basis is a minimal spanning set.",Section B: Bases -- A First Course in Linear Algebra,https://linear.pugetsound.edu/html/section-B.html,linear.pugetsound.edu,09d6b543906e7d8f9966979ec9c69fb0e59b89776789baec261881527a586329,2026-08-16T21:30:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T22:00:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
LA-VSP-01-fd6c104fa331,LA-VSP-01,"A subspace is a vector space that is contained within another, larger vector space, using the same definitions of vector addition and scalar multiplication as the larger space. Rather than checking all of the vector space properties directly, a subset W of a vector space V can be tested as a subspace by checking that it is nonempty and closed under vector addition and scalar multiplication.",Section S: Subspaces -- A First Course in Linear Algebra,https://linear.pugetsound.edu/html/section-S.html,linear.pugetsound.edu,fd6c104fa331f4beaa525b28ce93c71076a35b13a2cc7a1671147e4958e0dbf7,2026-08-16T21:30:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T22:00:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
LA-LTR-01-54d781124200,LA-LTR-01,"A linear transformation T from vector space U (the domain) to vector space V (the codomain) is a function with two defining properties: T(u1 + u2) = T(u1) + T(u2) for all u1, u2 in U, and T(alpha*u) = alpha*T(u) for all u in U and every scalar alpha. Any capsule summary of linear algebra would have to describe the subject as the interplay of linear transformations and vector spaces.",Section LT: Linear Transformations -- A First Course in Linear Algebra,https://linear.pugetsound.edu/html/section-LT.html,linear.pugetsound.edu,54d781124200808e3ed964d069e36236068f3606ddad3d949ab43ad7d4f94367,2026-08-16T21:30:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T22:00:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
LA-LTR-01-6f7e6d406916,LA-LTR-01,"Linear transformations whose domain and codomain are vector spaces of column vectors have a close relationship with matrices: for such a transformation T, there is a standard matrix A so that T(x) = Ax for every input x. This matrix is built by applying T to each vector of the standard basis and using the results as the matrix's columns.",Section MR: Matrix Representations -- A First Course in Linear Algebra,https://linear.pugetsound.edu/html/section-MR.html,linear.pugetsound.edu,6f7e6d406916916a1615527a6277cf28f29444c2029a5faf838b14c6cc834fa6,2026-08-16T21:30:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T22:00:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
LA-DET-01-fbfccb2a146b,LA-DET-01,The determinant of a square matrix is a single scalar computed from its entries. A square matrix is nonsingular -- meaning it is invertible and the associated homogeneous system has only the trivial solution -- exactly when its determinant is nonzero; a zero determinant signals that the matrix has no inverse.,Section DM: Determinant of a Matrix -- A First Course in Linear Algebra,https://linear.pugetsound.edu/html/section-DM.html,linear.pugetsound.edu,fbfccb2a146b4f6e6911ef50190a4cb6169b78110dd94a80b70ad9dc7a2941cc,2026-08-16T21:30:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T22:00:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
LA-DET-01-548b2f34ffff,LA-DET-01,"Cramer's Rule solves a system of linear equations by replacing the coefficient matrix's variable column of interest with the constant column and comparing determinants: each variable's value is the ratio of that modified matrix's determinant to the determinant of the original coefficient matrix. Cramer's Rule gives the unique solution to a system when the coefficient matrix's determinant is nonzero; if that determinant is zero, the system has no solution or infinitely many, and Cramer's Rule cannot be used.",7.8 Solving Systems with Cramer's Rule -- College Algebra 2e (OpenStax),https://openstax.org/books/college-algebra-2e/pages/7-8-solving-systems-with-cramers-rule,openstax.org,548b2f34ffff7ed6e54197dca8f5fa31b3a4d6c9aaa8bb7813c1a301ffd64f85,2026-08-16T21:30:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T22:00:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
