reference_id,skill_id,reference_material,title,source_url,source_domain,content_hash,retrieved_at,reviewer_id,reviewed_at,review_note
AI-AGT-01-31af4c58c9a1,AI-AGT-01,"Agent An entity that perceives its environment and acts upon that environment. In a navigator app, for example, the agent would be a representation of a car that needs to decide on which actions to take to arrive at the destination. State A configuration of an agent in its environment.",Lecture 0 - CS50's Introduction to Artificial Intelligence with Python,https://cs50.harvard.edu/ai/notes/0/,cs50.harvard.edu,31af4c58c9a1c64877bd85efa4a8be41c07745de26bdf3b244bbad515c632756,2026-08-11T12:56:01.631436Z,albert,2026-08-11T14:18:27.904006Z,Approved: clear agent/environment definition with an accessible navigation example.
AI-AGT-01-8efa49112c14,AI-AGT-01,"To define the task environment, we use the PEAS ( P erformance Measure, E nvironment, A ctuators, S ensors) description. The performance measure describes what utility the agent tries to increase. The environment summarizes where the agent acts and what affects the agent. The actuators and the sensors are the methods with which the agent acts on the environment and receives information from it. The design of an agent heavily depends on the type of environment the agent acts upon. We can characterize the types of environments in the following ways: In partially observable environments, the agent does not have full information about the state and thus must have an internal estimate of the state of the world. This is in contrast to fully observable environments, where the agent has full information about their state.",1.1 Agents | Introduction to Artificial Intelligence,https://inst.eecs.berkeley.edu/~cs188/textbook/search/agents.html,inst.eecs.berkeley.edu,8efa49112c1414aa6eb584836704203730d74afb09e73e7c8e892c4df93b276f,2026-08-11T12:56:05.176253Z,albert,2026-08-11T14:18:28.547620Z,"Approved: strong PEAS, sensor, actuator, and observability grounding."
AI-FND-01-8bbbddaf2aa6,AI-FND-01,"It provides an introduction to the full range of topics studied in artificial intelligence, with emphasis on the “core competences” of intelligent systems - problem solving, reasoning, decision making, and learning - and on the logical and probabilistic foundations of these activities.",Introduction to Artificial Intelligence,https://inst.eecs.berkeley.edu/~cs188/textbook/,inst.eecs.berkeley.edu,8bbbddaf2aa68ce8178697a3a3e903ba47e343cf5dd04748fd535706fef8a211,2026-08-11T03:10:00.838747Z,albert,2026-08-11T03:26:54.593951Z,Approved for AI-FND-01 cold-start grounding.
AI-FND-01-b50c85fa00a5,AI-FND-01,"This course introduces students to the basic knowledge representation, problem solving, and learning methods of artificial intelligence. Upon completion of 6.034, students should be able to develop intelligent systems by assembling solutions to concrete computational problems; understand the role of knowledge representation, problem solving, and learning in intelligent-system engineering; and appreciate the role of problem solving, vision, and language in understanding human intelligence from a computational perspective.",Artificial Intelligence — MIT OpenCourseWare 6.034 (Fall 2010),https://ocw.mit.edu/courses/6-034-artificial-intelligence-fall-2010/,ocw.mit.edu,b50c85fa00a57eb23d0e91812efec298d629901dab2ee3cdf0cc3816aeb6ec33,2026-08-11T03:22:59.515998Z,albert,2026-08-11T03:26:55.063734Z,Approved for AI-FND-01 cold-start grounding.
AI-FND-01-d03d77e0aca2,AI-FND-01,"For example, AI is used to recognize faces in photographs on your social media, beat the World’s Champion in chess, and process your speech when you speak to Siri or Alexa on your phone. In this course, we will explore some of the ideas that make AI possible: Search Finding a solution to a problem, like a navigator app that finds the best route from your origin to the destination, or like playing a game and figuring out the next move.",CS50's Introduction to Artificial Intelligence with Python — Lecture 0,https://cs50.harvard.edu/ai/notes/0/,cs50.harvard.edu,d03d77e0aca28bb72ab99abc54076fb048dab4d3fe362f05dd9360156b0a8303,2026-08-11T03:22:59.246324Z,albert,2026-08-11T03:26:55.637060Z,Approved for AI-FND-01 cold-start grounding.
AI-FND-01-f7c5eb1ccf76,AI-FND-01,"More specifically, Russell sees AI as the field devoted to building intelligent agents, which are functions taking as input tuples of percepts from the external environment, and producing behavior (actions) on the basis of these percepts.",Artificial Intelligence,https://plato.stanford.edu/entries/artificial-intelligence/,plato.stanford.edu,f7c5eb1ccf765edae13fa2f9520aabefcdca29bf54fa3df17587d804990e38cf,2026-08-11T03:24:35.487618Z,albert,2026-08-11T03:26:56.110690Z,Approved for AI-FND-01 cold-start grounding.
AI-SRC-01-4024dce75930,AI-SRC-01,"We have encountered search problems in our first lecture. A constraint satisfaction problem can be seen as a search problem: Initial state: empty assignment (all variables don’t have any values assigned to them). Actions: add a { variable = value } to assignment; that is, give some variable a value. Transition model: shows how adding the assignment changes the assignment. There is not much depth to this: the transition model returns the state that includes the assignment following the latest action. Goal test: check if all variables are assigned a value and all constraints are satisfied. Path cost function: all paths have the same cost. As we mentioned earlier, as opposed to typical search problems, optimization problems care about the solution and not the route to the solution. However, going about a constraint satisfaction problem naively, as a regular search problem, is massively inefficient. Instead, we can make use of the structure of a constraint satisfaction problem to solve it more efficiently. Backtracking Search Backtracking search is a type of a search algorithm that takes into account the structure of a constraint satisfaction search problem.",Lecture 3 - CS50's Introduction to Artificial Intelligence with Python,https://cs50.harvard.edu/ai/2020/notes/3/,cs50.harvard.edu,4024dce75930381f4fa33a3a18e7941bc7915568213c04f42fcd29c88714be3a,2026-08-05T15:08:05.598189Z,albert,2026-08-05T15:17:13.616726Z,Concrete formulation of search-problem components.
AI-SRC-01-8ef4e1416152,AI-SRC-01,"In this problem, we’re interested in finding the shortest path between any two actors by choosing a sequence of movies that connects them. For example, the shortest path between Jennifer Lawrence and Tom Hanks is 2: Jennifer Lawrence is connected to Kevin Bacon by both starring in “X-Men: First Class,” and Kevin Bacon is connected to Tom Hanks by both starring in “Apollo 13.” We can frame this as a search problem: our states are people. Our actions are movies, which take us from one actor to another (it’s true that a movie could take us to multiple different actors, but that’s okay for this problem). Our initial state and goal state are defined by the two people we’re trying to connect. By using breadth-first search, we can find the shortest path from one actor to another.",Degrees - CS50's Introduction to Artificial Intelligence with Python,https://cs50.harvard.edu/ai/projects/0/degrees/,cs50.harvard.edu,8ef4e1416152693e5dee2e9d67042e0cc9e4e35978fd343e6e2616f2cb97e315,2026-08-05T15:08:07.922628Z,albert,2026-08-05T15:17:14.198044Z,Concrete search-problem formulation example.
AI-SRC-01-9ba6548d4450,AI-SRC-01,"To do this, we must formally express a search problem - given our agent’s current state (its configuration within its environment), how can we arrive at a new state that satisfies its goals in the best possible way? A search problem consists of the following elements: A state space - The set of all possible states that are possible in your given world A set of actions available in each state A transition model - Outputs the next state when a specific action is taken at current state An action cost - Incurred when moving from one state to another after applying an action A start state - The state in which an agent exists initially A goal test - A function that takes a state as input, and determines whether it is a goal state Fundamentally, a search problem is solved by first considering the start state, then exploring the state space using the action and transition and cost methods, iteratively computing children of various states until we arrive at a goal state, at which point we will have determined a path from the start state to the goal state (typically called a plan ).",1.2 State Spaces and Search Problems | Introduction to Artificial Intelligence,https://inst.eecs.berkeley.edu/~cs188/textbook/search/state.html,inst.eecs.berkeley.edu,9ba6548d4450e4a4f77b376b5c1c3e349bc2077eaacf3f73720df4e4b49488a6,2026-08-05T15:07:51.492971Z,albert,2026-08-05T15:17:13.040862Z,Canonical definition of search-problem components.
AI-SRC-02-a506d362b314,AI-SRC-02,"If there exist cycles in the state space graph, this inevitably means that the corresponding search tree will be infinite in depth. Hence, there exists the possibility that DFS will faithfully yet tragically get “stuck” searching for the deepest node in an infinite-sized search tree, doomed to never find a solution. Optimality - Depth-first search simply finds the “leftmost” solution in the search tree without regard for path costs, and so is not optimal. Time Complexity - In the worst case, depth first search may end up exploring the entire search tree. Hence, given a tree with maximum depth \(m\), the runtime of DFS is \(O(b^{m})\). Space Complexity - In the worst case, DFS maintains b nodes at each of \(m\) depth levels on the frontier.",1.3 Uninformed Search | Introduction to Artificial Intelligence,https://inst.eecs.berkeley.edu/~cs188/textbook/search/uninformed.html,inst.eecs.berkeley.edu,a506d362b314deff7981c0c35b35b02905272bac8b38a1a35c5933f61284968c,2026-08-05T15:08:42.251857Z,albert,2026-08-05T15:17:15.377483Z,Explains the relationship between state spaces and search trees.
