skill_id,reference_material
DSA-CPX-01,"In general, changes to a constant factor in either equation only shift where the two curves cross, not whether the two curves cross. When you buy a faster computer or a faster compiler, the new problem size that can be run in a given amount of time for a given growth rate is larger by the same factor, regardless of the constant on the running-time equation. For these reasons, we usually ignore the constants when we want an estimate of the growth rate for the running time of a program."
DSA-CPX-01,"Linear search looks at each element one at a time from left to right; its running time is O(n). Binary search works only on sorted data, repeatedly halving the search space: if the target is less than the middle element, search the left half, else search the right half. Its running time is O(log n), far more efficient because each comparison eliminates half of the remaining elements."
DSA-LST-01,"An array-based list implementation stores list elements in an array named listArray, with listSize tracking the current number of items held within the array's maxSize capacity. Because the array's elements occupy contiguous memory, an element at any position can be read directly by index in constant time, but inserting or removing an element in the middle of the list requires shifting the elements around it."
DSA-LST-01,"A linked list uses dynamic memory allocation, allocating memory for new list elements as needed rather than reserving one contiguous block in advance. Each list node is built from a separate Link object containing an element field to store the value and a next field holding a pointer to the following node; a list built from such nodes, where each node points only forward, is called a singly linked list."
DSA-STK-01,"The stack is a list-like structure in which elements may be inserted or removed from only one end, called the top. Accountants used stacks long before the invention of the computer and called it a LIFO list, standing for Last-In, First-Out: elements are pushed onto the stack and popped from it, and the policy means a stack releases its elements in the reverse order of their arrival."
DSA-STK-01,"Like the stack, the queue is a list-like structure that provides restricted access to its elements. Queue elements may only be inserted at the back, called an enqueue operation, and removed from the front, called a dequeue operation. Accountants call a queue a FIFO list, standing for First-In, First-Out: queues release their elements in the same order that they arrived, like people standing in a line."
DSA-SRC-01,"Linear search checks a sequence of doors one at a time from left to right until it finds the target or runs out of doors; its running time is O(n) since, in the worst case, every element must be examined. Binary search instead works only on already-sorted data: it compares the target to the middle element and, depending on whether the target is smaller or larger, discards half of the remaining search space each time, giving a running time of O(log n)."
DSA-SRC-01,"A properly tuned hash system typically looks at only one or two records for each search, insert, or delete operation, which is far better than the O(log n) average cost required to do a binary search on a sorted array of n records, or the O(log n) average cost required to search a binary search tree."
DSA-SRT-01,"Bubble sort repeatedly steps through the list, comparing each pair of adjacent elements and swapping them if they are out of order, so that on each pass the largest remaining element 'bubbles' toward the end; its worst case is O(n^2). Selection sort instead repeatedly scans the unsorted portion of the list to find its smallest element and swaps it into place at the front of that portion; both its worst and best cases are Theta(n^2)."
DSA-SRT-01,"Merge sort is a divide-and-conquer algorithm: if the list has only one element, it is already sorted; otherwise, sort the left half of the list, sort the right half of the list, then merge the two sorted halves back together into one sorted list. Because it always splits the input in half and merges in linear time, merge sort achieves O(n log n) running time in both its best and worst cases."
DSA-SRT-01,"Insertion sort iterates through a list of records; for each iteration, the current record is inserted at the correct position within a sorted list composed of those records already processed, similar to sorting a stack of phone bills by date by repeatedly taking the next bill and sliding it into place among the ones already in order."
DSA-SRT-01,"Quicksort is, when properly implemented, the fastest known general-purpose in-memory sorting algorithm in the average case, and does not require the extra array that Mergesort needs, making it space efficient as well; it is widely used and is typically the algorithm implemented in a library sort routine such as the UNIX qsort function. Quicksort is a divide-and-conquer algorithm that selects a pivot value, partitions the remaining elements into those less than and those greater than the pivot, and recursively sorts each partition, but it is hampered by exceedingly poor worst-case performance."
DSA-HSH-01,"Hashing is a method for storing and retrieving records from a database based on a search key value; when properly implemented, insert, delete, and search operations can be performed in constant time. A hash system stores records in an array called a hash table, and a hash function performs a computation on a search key to identify the position in the hash table that should contain the record with that key."
DSA-HSH-01,"During insertion, the goal of collision resolution is to find a free slot in the hash table when the home position for a record is already occupied. Any collision resolution method can be viewed as generating a sequence of hash table slots that can potentially hold the record, called the probe sequence: if the home position is occupied, the collision resolution policy moves to the next slot in the sequence, and so on until a free slot is found."
DSA-HSH-01,"A hash table is a combination of arrays and linked lists: it is an array of pointers to nodes. A hash function maps each item to an array index. When a collision occurs, because two items hash to the same index, the new item is simply appended to the end of the linked list already stored at that index."
DSA-TGR-01,"A binary search tree (BST) is a binary tree that conforms to the binary search tree property: all nodes stored in the left subtree of a node whose key value is K have key values less than or equal to K, and all nodes stored in the right subtree of that node have key values greater than K. One consequence is that printing a BST's nodes using an inorder traversal enumerates them in sorted order from lowest to highest."
DSA-TGR-01,"A heap is a complete binary tree, so heaps are nearly always implemented using an array rather than explicit tree nodes and pointers. A max-heap requires that every node store a value that is greater than or equal to the value of either of its children, so the largest value in the heap is always stored at the root; a normal queue cannot implement a priority queue efficiently because finding the highest-priority element would take Theta(n) time."
DSA-TGR-01,"Many graph applications need to visit the vertices of a graph in some specific order based on the graph's topology, known as a graph traversal, similar in concept to a tree traversal. Tree traversals visit every node exactly once in some specified order such as preorder, inorder, or postorder; standard graph traversal orders such as breadth-first and depth-first search likewise each visit every vertex exactly once, and are each appropriate for solving certain kinds of problems."
