reference_id,skill_id,reference_material,title,source_url,source_domain,content_hash,retrieved_at,reviewer_id,reviewed_at,review_note
DSA-CPX-01-9c65314949c2,DSA-CPX-01,"In general, changes to a constant factor in either equation only shift where the two curves cross, not whether the two curves cross. When you buy a faster computer or a faster compiler, the new problem size that can be run in a given amount of time for a given growth rate is larger by the same factor, regardless of the constant on the running-time equation. For these reasons, we usually ignore the constants when we want an estimate of the growth rate for the running time of a program.",4.6. Asymptotic Analysis and Upper Bounds -- CS3 Data Structures & Algorithms,https://opendsa-server.cs.vt.edu/OpenDSA/Books/CS3/html/AnalAsymptotic.html,opendsa-server.cs.vt.edu,9c65314949c21b60d331d632bf6ef019e32f705425a6e1462fd8e1b49e90ae81,2026-08-16T20:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T20:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DSA-CPX-01-80a1eb976a56,DSA-CPX-01,"Linear search looks at each element one at a time from left to right; its running time is O(n). Binary search works only on sorted data, repeatedly halving the search space: if the target is less than the middle element, search the left half, else search the right half. Its running time is O(log n), far more efficient because each comparison eliminates half of the remaining elements.",Lecture 3: Algorithms -- CS50x 2026,https://cs50.harvard.edu/x/2026/notes/3/,cs50.harvard.edu,80a1eb976a565b8e22d5f9eed047b99c4e09718227ef548be438a49cf16d0888,2026-08-16T20:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T20:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DSA-LST-01-f177e09f7946,DSA-LST-01,"An array-based list implementation stores list elements in an array named listArray, with listSize tracking the current number of items held within the array's maxSize capacity. Because the array's elements occupy contiguous memory, an element at any position can be read directly by index in constant time, but inserting or removing an element in the middle of the list requires shifting the elements around it.",5.3. Array-Based List Implementation -- CS3 Data Structures & Algorithms,https://opendsa-server.cs.vt.edu/OpenDSA/Books/CS3/html/ListArray.html,opendsa-server.cs.vt.edu,f177e09f794666f091ef61ba3c5bf62be3dcf0d6448774799fd5f0465df4ea03,2026-08-16T20:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T20:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DSA-LST-01-1c0221412f01,DSA-LST-01,"A linked list uses dynamic memory allocation, allocating memory for new list elements as needed rather than reserving one contiguous block in advance. Each list node is built from a separate Link object containing an element field to store the value and a next field holding a pointer to the following node; a list built from such nodes, where each node points only forward, is called a singly linked list.",5.4. Linked Lists -- CS3 Data Structures & Algorithms,https://opendsa-server.cs.vt.edu/OpenDSA/Books/CS3/html/ListLinked.html,opendsa-server.cs.vt.edu,1c0221412f0161f0b3588c3d62fd7fb5d339607a31a77ce47969366f8bbc6dd3,2026-08-16T20:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T20:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DSA-STK-01-fea869da3f7b,DSA-STK-01,"The stack is a list-like structure in which elements may be inserted or removed from only one end, called the top. Accountants used stacks long before the invention of the computer and called it a LIFO list, standing for Last-In, First-Out: elements are pushed onto the stack and popped from it, and the policy means a stack releases its elements in the reverse order of their arrival.",5.8. Stacks -- CS3 Data Structures & Algorithms,https://opendsa-server.cs.vt.edu/OpenDSA/Books/CS3/html/StackArray.html,opendsa-server.cs.vt.edu,fea869da3f7b2e5f4144f4fa83a2fbd550dab7d1af2f897c5b75062f8275c08f,2026-08-16T20:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T20:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DSA-STK-01-8a882e51b71e,DSA-STK-01,"Like the stack, the queue is a list-like structure that provides restricted access to its elements. Queue elements may only be inserted at the back, called an enqueue operation, and removed from the front, called a dequeue operation. Accountants call a queue a FIFO list, standing for First-In, First-Out: queues release their elements in the same order that they arrived, like people standing in a line.",5.12. Queues -- CS3 Data Structures & Algorithms,https://opendsa-server.cs.vt.edu/OpenDSA/Books/CS3/html/Queue.html,opendsa-server.cs.vt.edu,8a882e51b71e936ee18805cac7704ab5ca9f5853b9fb7caadc91b276b1d6510a,2026-08-16T20:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T20:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DSA-SRC-01-9dcf7f3eccf9,DSA-SRC-01,"Linear search checks a sequence of doors one at a time from left to right until it finds the target or runs out of doors; its running time is O(n) since, in the worst case, every element must be examined. Binary search instead works only on already-sorted data: it compares the target to the middle element and, depending on whether the target is smaller or larger, discards half of the remaining search space each time, giving a running time of O(log n).",Lecture 3: Algorithms -- CS50x 2026 (linear vs binary search),https://cs50.harvard.edu/x/2026/notes/3/,cs50.harvard.edu,9dcf7f3eccf9d2716df24e8bd0ee5f7538f0d3dfdf3af5b7e770330e23aabfaf,2026-08-16T20:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T20:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DSA-SRC-01-8901467cd840,DSA-SRC-01,"A properly tuned hash system typically looks at only one or two records for each search, insert, or delete operation, which is far better than the O(log n) average cost required to do a binary search on a sorted array of n records, or the O(log n) average cost required to search a binary search tree.",10.1. Introduction to Hashing -- CS3 Data Structures & Algorithms (search comparison),https://opendsa-server.cs.vt.edu/OpenDSA/Books/CS3/html/HashIntro.html,opendsa-server.cs.vt.edu,8901467cd84078281827f3010c8629465e6fac15a69f0a155b4d802490c583fe,2026-08-16T20:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T20:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DSA-SRT-01-7e815542e750,DSA-SRT-01,"Bubble sort repeatedly steps through the list, comparing each pair of adjacent elements and swapping them if they are out of order, so that on each pass the largest remaining element 'bubbles' toward the end; its worst case is O(n^2). Selection sort instead repeatedly scans the unsorted portion of the list to find its smallest element and swaps it into place at the front of that portion; both its worst and best cases are Theta(n^2).",Lecture 3: Algorithms -- CS50x 2026 (bubble and selection sort),https://cs50.harvard.edu/x/2026/notes/3/,cs50.harvard.edu,7e815542e75080d43511a7802023a86efe7c70ac777cbc41cdab2fdc4b1286f6,2026-08-16T20:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T20:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DSA-SRT-01-5798451c6ce8,DSA-SRT-01,"Merge sort is a divide-and-conquer algorithm: if the list has only one element, it is already sorted; otherwise, sort the left half of the list, sort the right half of the list, then merge the two sorted halves back together into one sorted list. Because it always splits the input in half and merges in linear time, merge sort achieves O(n log n) running time in both its best and worst cases.",Lecture 3: Algorithms -- CS50x 2026 (merge sort),https://cs50.harvard.edu/x/2026/notes/3/,cs50.harvard.edu,5798451c6ce8fc944585337bb86b879f0c3fffb5c78c57bdab9b456a063a6454,2026-08-16T20:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T20:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
