reference_id,skill_id,reference_material,title,source_url,source_domain,content_hash,retrieved_at,reviewer_id,reviewed_at,review_note
DB-ERM-01-176f63d3399d,DB-ERM-01,"Using the Peter Chen notation for an entity relationship diagram (ERD): entity types are represented using rectangular shapes, relationship types are shown with a diamond shape, lines connect the relationship type to its related entity types with cardinality symbols such as m and n, and attributes are shown as ovals with a line connecting each one to the pertinent entity type or relationship type.","7.1: Introduction (Entity Relationship Modelling, Chen notation) -- Relational Databases and Microsoft Access (McFadyen, LibreTexts)",https://eng.libretexts.org/Bookshelves/Computer_Science/Databases_and_Data_Structures/Relational_Databases_and_Microsoft_Access_(McFadyen)/07:_Entity_Relationship_Modelling/7.01:_Introduction,eng.libretexts.org,176f63d3399d9e9326c4d851bf6a384e96ca1654f26a674cfbef7622a42fc7c3,2026-08-16T23:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T23:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DB-ERM-01-8956b3bcbdd1,DB-ERM-01,"An entity relationship (ER) model, expressed as an entity relationship diagram (ERD), gives a good overview of the design of a database system, making it easier to understand at both a technical and a conceptual level; it is created through an iterative process of identifying the relevant entities, their attributes, and the relationships among them.","1.10: ER Modelling -- Database Design 2e (Watt, LibreTexts)",https://eng.libretexts.org/Bookshelves/Computer_Science/Databases_and_Data_Structures/Database_Design_2e_(Watt)/01%3A_Chapters/1.10%3A_ER_Modelling,eng.libretexts.org,8956b3bcbdd10764fc9fd93f2f16094215bfd261dadfe7b0f391d5c302bb2ff0,2026-08-16T23:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T23:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DB-REL-01-70238be54add,DB-REL-01,"A relation, also known as a table, is a subset of the Cartesian product of a list of domains, characterized by a name; each row of a relation represents a group of related data values and is called a tuple, or record, while each column is called a field or attribute. A domain is the original set of atomic values used to model data, where each value is indivisible as far as the relational model is concerned.","1.7: The Relational Data Model -- Database Design 2e (Watt, LibreTexts)",https://eng.libretexts.org/Bookshelves/Computer_Science/Databases_and_Data_Structures/Database_Design_2e_(Watt)/01%3A_Chapters/1.07%3A_The_Relational_Data_Model,eng.libretexts.org,70238be54add04a79de015ef6aea65efa979e34e85c9ca38448dfe0f172505a8,2026-08-16T23:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T23:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DB-REL-01-5838cf6d7512,DB-REL-01,Constraints are rules that force a database management system to check that data satisfies the semantics of the application domain. Domain integrity restricts the values an attribute may take; entity integrity ensures that every table has a primary key whose value is unique and never null; and referential integrity ensures that a foreign key value in one table must either match an existing primary key value in the referenced table or be null.,"1.9: Integrity Rules and Constraints -- Database Design 2e (Watt, LibreTexts)",https://eng.libretexts.org/Bookshelves/Computer_Science/Databases_and_Data_Structures/Database_Design_2e_(Watt)/01%3A_Chapters/1.09%3A_Integrity_Rules_and_Constraints,eng.libretexts.org,5838cf6d751209f5733b1587f3b2045656a5f24ce331b92794717e90c2f049a0,2026-08-16T23:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T23:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DB-ALG-01-835486ff9559,DB-ALG-01,"The selection operator (sigma) takes in a single relation and filters rows based on a condition, keeping the same output schema; it is equivalent to SQL's WHERE clause, not its SELECT clause. The projection operator (pi) does not filter rows, but instead changes the schema by keeping only the specified columns of the relation. There is only one reasonable way to express a given query in SQL, but relational algebra allows several different, equally correct expressions of the same query, for example applying selection before or after projection.",Relational Algebra -- Database Systems (UC Berkeley CS186 course notes),https://cs186berkeley.net/notes/note6/,cs186berkeley.net,835486ff9559a5b224fbce724a4dde36cdaad8ce3a5e26f151685973dc03ad8a,2026-08-16T23:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T23:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DB-SQL-01-4b63e83d9781,DB-SQL-01,"The SQL data manipulation language (DML) is used to query and modify database data using four core statements: SELECT queries data in the database, INSERT inserts data into a table, UPDATE updates data in a table, and DELETE removes data from a table. A SELECT statement can join multiple tables together, including an inner join, which returns only rows with matching values in both tables, and outer joins, which also return unmatched rows from one or both tables.","1.16: SQL Data Manipulation Language -- Database Design 2e (Watt, LibreTexts)",https://eng.libretexts.org/Bookshelves/Computer_Science/Databases_and_Data_Structures/Database_Design_2e_(Watt)/01%3A_Chapters/1.16%3A_SQL_Data_Manipulation_Language,eng.libretexts.org,4b63e83d9781302a1b09775a476168eb546a2bbd68f425995f1e7cabef6cd9a3,2026-08-16T23:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T23:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DB-NRM-01-35fcdaf402eb,DB-NRM-01,"A functional dependency (FD) is a relationship between two attributes, typically between the primary key and other non-key attributes within a table: for relation R, attribute Y is functionally dependent on attribute X if, for every valid instance of X, that value of X uniquely determines the value of Y. This relationship is written X -> Y, where X is called the determinant and Y is called the dependent.","1.11: Functional Dependencies -- Database Design 2e (Watt, LibreTexts)",https://eng.libretexts.org/Bookshelves/Computer_Science/Databases_and_Data_Structures/Database_Design_2e_(Watt)/01%3A_Chapters/1.11%3A_Functional_Dependencies,eng.libretexts.org,35fcdaf402ebfc691bfcbe4e43fa38461635b8b3ce281ab95a0f6fe733907108,2026-08-16T23:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T23:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DB-NRM-01-73070f06d273,DB-NRM-01,"Normalization is the process of determining how much redundancy exists in a table and transforming the schema to remove it; normal forms are sequenced from weakest to strongest, so that 2NF is stronger than 1NF, and 3NF is stronger than 2NF. A relation is in third normal form (3NF) when it is already in second normal form and contains no transitive dependency, meaning no non-key attribute depends on another non-key attribute rather than depending directly on the primary key.","1.12: Normalization -- Database Design 2e (Watt, LibreTexts)",https://eng.libretexts.org/Bookshelves/Computer_Science/Databases_and_Data_Structures/Database_Design_2e_(Watt)/01%3A_Chapters/1.12%3A_Normalization,eng.libretexts.org,73070f06d2737d360c3c8e20beedd00de422ec69da88ef3b8580becbef472aa4,2026-08-16T23:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T23:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DB-TXN-01-83c9658669d7,DB-TXN-01,"A transaction is a set of database operations, induced by a single user or application, that is treated as one undividable unit of work: it either succeeds or fails in its entirety. RDBMS transactions satisfy the ACID properties: atomicity ensures the transaction's operations execute as a unit; consistency ensures only valid data is written; isolation guarantees that concurrent users are not affected by each other's in-progress transactions; and durability guarantees that once a transaction commits, its effects persist.","8.3: Relational Database Management Systems -- Introduction to Computer Science (OpenStax, LibreTexts)",https://eng.libretexts.org/Bookshelves/Computer_Science/Programming_and_Computation_Fundamentals/Introduction_to_Computer_Science_(OpenStax)/08:_Data_Management/8.03:_Relational_Database_Management_Systems,eng.libretexts.org,83c9658669d759ff90fce015f823fb7dbac8104c8c5772cd1433386cb80fe6cd,2026-08-16T23:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T23:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
DB-TXN-01-6e069c731ed0,DB-TXN-01,"Concurrency control is the coordination of transactions that execute simultaneously on the same data so that they do not cause inconsistencies from mutual interference; a lock manager provides concurrency control to ensure data integrity. The transaction manager can COMMIT a transaction upon successful execution or ROLLBACK a transaction upon unsuccessful execution, using a log file that registers each transaction's current state to support recovery after a failure.","8.3: Relational Database Management Systems (concurrency control and recovery) -- Introduction to Computer Science (OpenStax, LibreTexts)",https://eng.libretexts.org/Bookshelves/Computer_Science/Programming_and_Computation_Fundamentals/Introduction_to_Computer_Science_(OpenStax)/08:_Data_Management/8.03:_Relational_Database_Management_Systems,eng.libretexts.org,6e069c731ed0efd79e3cc930ad8f1562bee4273c024d1ad44719e7e1e6c0c459,2026-08-16T23:00:00Z,"claude (three-course preparation wave, delegated reference review by Albert)",2026-08-16T23:30:00Z,"Fetched and read directly by Claude; genuine, on-topic, stable open-course-material passage."
